Names,sentiment_score
지식인_파이널 사회문화,0.00014886121173026347
지식인_파이널 사회문화,0.0
지식인_파이널 생명과학1,5.6689342403628114e-05
지식인_파이널 생명과학1,5.737234652897303e-05
지식인_파이널 생명과학1,0.0
지식인_파이널 생명과학2,7.908264136022144e-05
지식인_파이널 생명과학2,5.725409366769724e-05
지식인_파이널 생활과윤리,0.0
지식인_파이널 생활과윤리,0.0
지식인_파이널 생활과윤리,0.00018484288354898338
지식인_파이널 세계사,0.0003852080123266564
지식인_파이널 세계사,0.00013873473917869035
지식인_파이널 세계지리,2.832660576446427e-05
지식인_파이널 세계지리,0.00013794462508621538
지식인_파이널 수학 A형,0.0
지식인_파이널 수학 A형,0.00013652675924481197
지식인_파이널 수학 가형,0.00015082956259426846
지식인_파이널 수학 나형,0.00012531328320802005
지식인_파이널 영어,4.11725955204216e-05
지식인_파이널 영어,0.00014594279042615295
지식인_파이널 영어 A형,4.794507412308459e-05
지식인_파이널 영어 B형,2.3413476797244493e-05
지식인_파이널 윤리와사상,5.2328623757195185e-05
지식인_파이널 윤리와사상,0.00010127021787564016
지식인_파이널 지구과학1,5.2042674993494666e-05
지식인_파이널 지구과학1,2.0434853686447604e-05
지식인_파이널 지구과학1,0.0002469135802469136
지식인_파이널 지구과학2,5.192916861401049e-05
지식인_파이널 지구과학2,0.00012236906510034264
지식인_파이널 프로포즈 심주석 수학,9.692583558147425e-05
지식인_파이널 프로포즈 윤혜정 국어,0.0001379690949227373
지식인_파이널 프로포즈 이아영 영어,0.00010012014417300761
지식인_파이널 프로포즈 최태성 한국사,8.544543774765825e-05
지식인_파이널 한국사,4.982855044812914e-05
지식인_파이널 한국사,2.1937521937521936e-05
지식인_파이널 한국사,0.0
지식인_파이널 한국지리,0.00011717285339332582
지식인_파이널 화학1,6.985679357317499e-05
지식인_파이널 화학1,3.9786743057213336e-05
지식인_파이널 화학1,0.0
지식인_파이널 화학2,5.813277525869085e-05
지식인_파이널 화학2,3.598173926732183e-05
지식인_포스 vocabulary,2.6962899050905955e-05
지식인_포스 vocabulary,0.00017361111111111112
지식인_포스 기하와벡터,3.8406882513346395e-05
지식인_포스 기하와벡터,0.0001366586949094636
지식인_포스 독서와문법,6.809669731018046e-05
지식인_포스 문학1,0.0001514646632940535
지식인_포스 문학2,4.106438896189225e-05
지식인_포스 미적분과통계기본,8.710151058905506e-05
지식인_포스 비문학독해원리연습,9.933868816166661e-05
지식인_포스 수학1,9.645061728395061e-05
지식인_포스 수학1 A형,0.00012903225806451613
지식인_포스 수학1 B형,6.443298969072165e-05
지식인_포스 수학2,2.560819462227913e-05
지식인_포스 수학2,0.0001561524047470331
지식인_포스 영어구문투어,0.00011235955056179776
지식인_포스 영어독해의유형1,4.5888399412628485e-05
지식인_포스 영어독해의유형1,4.4559308439533014e-05
지식인_포스 영어독해의유형2,4.505722267279445e-05
지식인_포스 영어독해의유형2,5.787037037037037e-05
지식인_포스 적분과통계,7.007872176411503e-05
지식인_포스 현대문학,9.791921664626684e-05
지식인_포스 화법과작문,2.843275319366719e-05
